GSM151955.CEL	GSM151957.CEL	GSM151958.CEL	GSM151959.CEL	GSM151960.CEL	GSM151961.CEL
100128977	4.152057759137	4.07577666632617	4.30890648558124	4.32047109496411	3.77759004651017	4.50653446740401
100128988	5.69029269351606	6.51847285769499	9.74958701121914	9.33849890314494	5.83085266312088	5.375584243346
100128993	4.32907954956544	4.07816165911257	4.6459567510192	3.95684560598614	4.15778471384236	4.57873644160873
100128998	7.06028810979518	6.81484715410901	7.17621771361504	7.16070873346488	6.74273249916455	7.57617950899981
100129034	7.36165457219351	7.38667117552653	7.20447093997778	7.28154769262357	7.51777114114117	7.52404116772221
100129061	3.67356061494687	3.6491576686524	3.53113715206553	3.71713321456953	3.64360173269649	3.82498151597444
100129098	5.9322324677958	5.92681350493108	5.7664169810523	5.89218456857948	5.64361873425372	5.98450238484904
100129128	4.76793804656926	4.64668754397452	4.68771230854462	4.9287114576148	4.61787259159127	4.69289526822717
100129175	5.81732615724818	5.85462412415092	5.84944612923299	6.18745459408446	6.00789099281045	6.25740151798672
100129195	4.8918049322895	4.59163605650779	4.52826179804454	4.71068581195914	4.89224366826349	4.96069711890457
100129196	4.31503575203128	4.35548761973719	4.48504423348809	4.36709416397446	4.19881104054236	4.28787874330961
100129250	8.4070807869114	8.24016253604011	7.91797847586018	7.98286063083765	8.4380432444339	8.42463527501741
100129271	5.41482489646376	5.11095894271602	5.1879105025327	5.62770620322129	5.52131145056641	5.70045427432322
100129361	6.91143153970603	6.91566609328524	6.68481986137933	6.68699526343364	7.19146057239054	7.01405880457272
100129387	6.88950938991663	7.09434520682904	8.24092920382942	8.1205694975724	7.29122297568558	7.21634438101482
100129427	4.51435444612175	4.42370585706818	4.42829827034581	4.50564913284935	4.53528351331343	4.82683039142653
100129455	5.71241770327406	5.62055281018102	4.34209858497952	4.72467762349422	5.19315414109993	5.17399952094843
100129460	5.327984852413	4.94738829772583	5.45614540559606	5.62179367651646	5.43002240737224	5.26177366314571
100129461	5.24728322042838	5.21614293367407	5.31367470478727	5.45352387131343	5.13169637884697	5.00386978042846
100129476	4.80055677834921	4.88362230632678	4.98434968521216	5.03695338016876	4.76413941265	5.40092252542462
100129482	5.69545327963256	5.59368781936107	5.8062555194793	5.77432665931472	6.16176916736118	5.9817869324393
100129503	6.75980691070761	7.05517857594958	7.50016814881488	7.58507806789854	7.59679891940972	7.32168564448105
100129516	6.41261917627695	5.98668607799466	6.57070479396788	6.63688657529442	6.61909545491917	6.69609048211436
