PROBEID,ENTREZID
762,16840162,NA
763,17119262,26793
764,17119262,10528
765,16977168,10983
766,16652233,NA
767,17119258,692213
768,17118250,NA
769,16673043,127933
770,16815781,29035
771,16658943,NA
772,16763280,85437
773,16654815,NA
774,16861390,NA
775,16726880,283131
776,16704182,55454
777,16938626,NA
778,16884703,150472
779,17124708,11328
780,17092969,9373
781,16729290,25987
782,16709553,26033
783,16650857,NA
784,16810954,6124
785,17080486,4982
786,17119476,692199
787,17119476,7919
788,17119630,692199
789,17119630,7919
790,17121464,NA
791,16863753,2014
792,16771558,NA
793,17125488,NA
794,16985950,4131
795,17125876,647135
796,17125876,653464
797,17122464,NA
798,16855492,NA
799,16894402,4953
800,17119904,NA
801,16898108,100124537
802,17084932,100506710
803,17014364,3482
804,16867215,NA
805,16849274,10610
806,17004612,1832
807,17080747,NA
808,16994067,NA
809,16868847,25959
810,16771432,NA
811,16847831,NA
812,16905216,151556
813,17007884,1432
814,17117560,NA
815,16956569,5627
816,16939469,10289
817,17021122,25998
818,16960186,5359
819,16726891,378938
820,17010459,NA
821,16704088,NA
822,16822254,NA
823,16950181,NA
824,17091901,NA
825,16679897,NA
826,16699572,NA
827,16733806,NA
828,16866392,NA
829,16979334,NA
830,17122920,5290
831,16697166,80267
832,16854268,4864
833,16744686,NA
834,16879061,NA
835,16687487,9528
836,16790262,NA
837,16654561,NA
838,16855176,NA
839,17120006,641977
840,17120006,285961
841,17120006,645513
842,16653589,NA
843,16823098,NA
844,17016205,81688
845,17046347,NA
846,17095336,NA
847,16999582,NA
848,17120788,NA
849,16795192,9517
850,16839495,NA
851,17059119,10512
852,16767794,114882
853,16992341,NA
854,16920277,23394
855,16986552,23743
856,16912939,693229
857,16774162,387921
858,16915220,57403
859,16810612,51324
860,16654879,NA
861,16653683,NA
862,17123694,152687
863,16684385,692234
864,16684385,692235
865,16684387,692234
866,16684387,692235
867,16855182,26791
868,16855183,NA
869,17106102,1287
870,16654885,NA
871,16973753,105374352
872,16934587,NA
873,16779085,55213
874,16793559,51635
875,16798144,100033415
876,16798144,100033421
877,16798144,100033420
878,16798144,100033417
879,16798144,100033419
880,16798154,100033415
881,16798154,100033421
882,16798154,100033420
883,16798154,100033417
884,16798154,100033419
885,17044437,NA
886,17094855,51104
887,17121088,NA
888,17120858,143
889,16676183,493
890,16889741,NA
891,16767142,51643
892,17069877,NA
893,16711446,NA
894,16798152,100033420
895,16798152,100033415
896,16798152,100033421
897,16798152,100033417
898,16798152,100033419
899,16654421,NA
900,16715112,56681
901,17123316,4144
902,16785952,22990
903,17018396,NA
904,16793455,NA
905,17068627,NA
906,16656013,NA
907,16788659,767590
908,17094494,NA
909,16651361,NA
910,17081158,NA
911,16763540,54407
912,17124988,7171
913,16840691,NA
914,16693646,NA
915,16822913,6187
916,16966932,NA
917,16938763,10015
918,17121466,NA
919,16715269,9806
920,16892112,NA
921,16650587,NA
922,16660876,NA
923,16696612,NA
924,17118734,NA
925,16851309,80000
926,16776052,9375
927,17063534,NA
928,16655041,NA
929,16955442,378
930,16651211,NA
931,17008534,100188893
932,16956954,NA
933,16668916,NA
934,16654641,NA
935,16653809,NA
936,17118826,9304
937,17118826,23642
938,16699507,677818
939,16699507,100302234
940,17093373,100113379
941,16854660,NA
942,16856203,682
943,16790233,3183
944,17046640,8460
945,16855504,NA
946,16788657,767589
947,16757710,5037
948,16654681,NA
949,16715133,5464
950,17071188,92140
951,16651347,NA
952,16781352,NA
953,16922396,6526
954,16922396,64968
955,17095323,NA
956,16956661,56650
957,16867224,NA
958,17121126,642477
959,16969344,493856
960,17118394,NA
961,16780917,8660
962,17124696,641977
963,17118818,692223
964,17025297,6950
965,16753465,11260
966,17120874,143
967,17120874,23783
968,16650309,NA
969,16711447,NA
970,16711280,1316
971,16999072,NA
972,16808326,9677
973,16804333,11214
974,16651655,NA
975,17097308,9991
976,17095899,1842
977,17123390,3146
978,17123390,140690
979,16913378,6185
980,16913378,1917
981,17101854,NA
982,17024285,10370
983,16821691,NA
984,16651433,NA
985,16654773,NA
986,17113980,6594
987,16968680,6696
988,16745154,NA
989,17122298,23433
990,16892039,5707
991,16732676,84959
992,17118774,641451
993,16654881,NA
994,16712274,NA
995,16948209,5290
996,16972480,80817
997,16864163,NA
998,16666013,9295
999,16850595,84034
1000,16916559,100113378
1001,16685076,6421
1002,16654647,NA
1003,16911463,22903
1004,16687875,3725
1005,16852771,NA
1006,16795394,6400
1007,16984755,NA
1008,17119418,NA
1009,16654961,NA
1010,17101677,158747
1011,16775856,5611
1012,16697243,NA
1013,16753779,5908
1014,16987720,23262
1015,17105047,5230
1016,16826243,81533
1017,16906000,91404
1018,17122534,23433
1019,16798138,100033414
1020,16798138,100033418
1021,16798138,100033413
1022,16798138,100033416
1023,16798138,104472715
1024,16782187,4323
1025,16897313,805
1026,16924207,6782
1027,16650371,NA
1028,16994272,9037
1029,16877555,388
1030,16689869,2152
1031,16966645,NA
1032,17100991,NA
1033,17120990,NA
1034,16801789,7168
1035,16798146,100033417
1036,16798146,100033419
1037,16798146,100033415
1038,16798146,100033420
1039,16798146,100033421
1040,16798150,100033417
1041,16798150,100033419
1042,16798150,100033415
1043,16798150,100033420
1044,16798150,100033421
1045,16759200,NA
1046,16798148,100033418
1047,16798148,100033414
1048,16798148,100033420
1049,16719644,664
1050,16965708,NA
1051,16724031,2132
1052,17028037,50854
1053,16745563,79827
1054,16993409,NA
1055,16652865,NA
1056,16722252,84188
1057,16817090,5930
1058,16974224,100302277
1059,16974224,100302204
1060,16974224,100302186
1061,17015388,6745
1062,16880001,11036
1063,16880001,286749
1064,16880001,11037
1065,16766260,506
1066,17116200,8287
1067,16983456,NA
1068,16994969,54545
1069,16653725,NA
1070,16654639,NA
1071,16990133,NA
1072,16787114,NA
1073,16770100,51699
1074,16847199,NA
1075,16888367,54431
1076,16731492,25996
1077,16934590,NA
1078,16670383,723790
1079,16670383,8337
1080,17116410,9086
1081,16881838,3099
1082,16741547,NA
1083,17068617,NA
1084,16985353,55914
1085,16854486,1824
1086,17023799,154091
1087,16811816,5780
1088,16981219,55601
1089,17022356,NA
1090,16877147,NA
1091,16711452,NA
1092,16657177,NA
1093,16735830,NA
1094,16855503,NA
1095,17036745,1192
1096,17039540,1192
1097,17042023,1192
1098,17124454,641977
1099,17124454,989
1100,17121892,283970
1101,17121892,339044
1102,17121892,9284
1103,17121892,105369154
1104,17095342,NA
1105,16651967,NA
1106,16652631,NA
1107,16744688,NA
1108,17119086,677850
1109,17119086,100507246
